Timestamp,res_demand_avg_kw,res_n_households,res_energy_per_household_kwh,res_energy_total_kwh,season,hour,day
2017-11-12 10:00:00,0.3021297499507777,10158,0.15106487497538884,1534.5169999999998,Autumn,10,2017-11-12
2017-11-12 10:30:00,0.3034718448513487,10158,0.15173592242567435,1541.3335,Autumn,10,2017-11-12
2017-11-12 11:00:00,0.2992392203189605,10158,0.14961961015948025,1519.8360000000005,Autumn,11,2017-11-12
2017-11-12 11:30:00,0.3070648749753888,10158,0.1535324374876944,1559.5824999999998,Autumn,11,2017-11-12
2017-11-12 12:00:00,0.310044201614491,10158,0.1550221008072455,1574.7144999999996,Autumn,12,2017-11-12
2017-11-12 12:30:00,0.3098466233510534,10158,0.1549233116755267,1573.7110000000002,Autumn,12,2017-11-12
2017-11-12 13:00:00,0.3042098838354005,10158,0.15210494191770024,1545.081999999999,Autumn,13,2017-11-12
2017-11-12 13:30:00,0.2930766883244732,10158,0.1465383441622366,1488.5364999999995,Autumn,13,2017-11-12
2017-11-12 14:00:00,0.2892168734002756,10158,0.1446084367001378,1468.9324999999997,Autumn,14,2017-11-12
2017-11-12 14:30:00,0.2881440244142548,10158,0.1440720122071274,1463.4835,Autumn,14,2017-11-12
2017-11-12 15:00:00,0.3039571766095689,10158,0.15197858830478445,1543.7985000000003,Autumn,15,2017-11-12
2017-11-12 15:30:00,0.3247696396928529,10158,0.16238481984642644,1649.5049999999999,Autumn,15,2017-11-12
2017-11-12 16:00:00,0.3621075999212443,10158,0.18105379996062215,1839.1444999999999,Autumn,16,2017-11-12
2017-11-12 16:30:00,0.4324883835400669,10158,0.21624419177003346,2196.6085,Autumn,16,2017-11-12
2017-11-12 17:00:00,0.4702222878519396,10158,0.2351111439259698,2388.2590000000014,Autumn,17,2017-11-12
2017-11-12 17:30:00,0.4749476274857255,10158,0.23747381374286275,2412.259,Autumn,17,2017-11-12
2017-11-12 18:00:00,0.4679871037605828,10158,0.2339935518802914,2376.9065,Autumn,18,2017-11-12
2017-11-12 18:30:00,0.4479308919078558,10158,0.2239654459539279,2275.0409999999997,Autumn,18,2017-11-12
2017-11-12 19:00:00,0.4374205552274069,10158,0.21871027761370346,2221.6589999999997,Autumn,19,2017-11-12
2017-11-12 19:30:00,0.422531206930498,10158,0.211265603465249,2146.035999999999,Autumn,19,2017-11-12
2017-11-12 20:00:00,0.3956070092537901,10158,0.19780350462689505,2009.288,Autumn,20,2017-11-12
2017-11-12 20:30:00,0.3672498523331364,10158,0.1836249261665682,1865.2619999999997,Autumn,20,2017-11-12
2017-11-12 21:00:00,0.3430494191770032,10158,0.1715247095885016,1742.3479999999993,Autumn,21,2017-11-12
2017-11-12 21:30:00,0.3078502658003544,10158,0.1539251329001772,1563.5715,Autumn,21,2017-11-12
2017-11-12 22:00:00,0.2715087615672377,10158,0.13575438078361884,1378.9930000000002,Autumn,22,2017-11-12
2017-11-12 22:30:00,0.2325402185684749,10157,0.11627010928423745,1180.9554999999998,Autumn,22,2017-11-12
2017-11-12 23:00:00,0.2062905385448459,10157,0.10314526927242294,1047.6464999999998,Autumn,23,2017-11-12
2017-11-12 23:30:00,0.1781025893472482,10157,0.0890512946736241,904.494,Autumn,23,2017-11-12
2017-11-13 00:00:00,0.1589376231769807,10148,0.07946881158849035,806.4495000000001,Autumn,0,2017-11-13
2017-11-13 00:30:00,0.1413737314021086,10149,0.0706868657010543,717.4010000000001,Autumn,0,2017-11-13
2017-11-13 01:00:00,0.1295825041867796,10151,0.0647912520933898,657.6959999999999,Autumn,1,2017-11-13
2017-11-13 01:30:00,0.120835500394011,10152,0.0604177501970055,613.3609999999999,Autumn,1,2017-11-13
2017-11-13 02:00:00,0.1166661741528762,10152,0.0583330870764381,592.1974999999995,Autumn,2,2017-11-13
2017-11-13 02:30:00,0.1121922773837667,10152,0.05609613869188335,569.4879999999998,Autumn,2,2017-11-13
2017-11-13 03:00:00,0.1100741725768321,10152,0.05503708628841605,558.7364999999998,Autumn,3,2017-11-13
2017-11-13 03:30:00,0.1087204491725768,10152,0.0543602245862884,551.8649999999998,Autumn,3,2017-11-13
2017-11-13 04:00:00,0.1100241331757289,10152,0.05501206658786445,558.4824999999998,Autumn,4,2017-11-13
